Currency,Rates
BTC,61539.00000000
ETH,2476.00000000
USDT,0.99980000
BNB ,553.72000000
SOL ,146.95000000
USDC ,1.00000000
XRP ,0.59850000
DOGE ,0.10750000
TON ,5.45400000
TRX ,0.15440000
ADA ,0.35640000
AVAX ,26.16000000
SHIB ,0.00001671
LINK ,11.20000000
BCH ,321.62000000
DOT ,4.20100000
NEAR ,4.87200000
LEO ,5.89600000
DAI ,1.00100000
SUI ,1.85900000
LTC ,64.08000000
UNI ,7.04300000
PEPE ,0.00001004
TAO ,546.55000000
ICP ,8.31400000
APT ,7.73300000
FET ,1.51300000
KAS ,0.15160000
RENDER ,5.92700000
POL ,0.38370000
XLM ,0.09448000
ETC ,18.58000000
FDUSD ,0.99870000
XMR ,145.60000000
STX ,1.74300000
IMX ,1.59100000
USDE ,0.99890000
OKB ,40.49000000
WIF ,2.41700000
AAVE ,148.73000000
FIL ,3.67700000
INJ ,22.08000000
CRO ,0.08107000
OP ,1.68900000
HBAR ,0.05444000
ARB ,0.55750000
FTM ,0.71330000
MNT ,0.59850000
VET ,0.02301000
BONK ,0.00002528
ATOM ,4.52300000
SEI ,0.46330000
RUNE ,4.80000000
GRT ,0.16240000
BGB ,0.97990000
FLOKI ,0.00014280
HNT ,7.90300000
MKR ,1515.00000000
THETA ,1.32500000
AR ,20.02000000
HEX ,0.01377000
HTX ,0.00000126
PYTH ,0.33360000
TIA ,5.30000000
JUP ,0.82960000
OM ,1.27800000
ALGO ,0.12710000
LDO ,1.15700000
ONDO ,0.73550000
JASMY ,0.02069000
WBT ,11.39000000
POPCAT ,1.00600000
W ,0.37850000
BEAM ,0.01902000
KCS ,7.80300000
BSV ,46.16000000
BRETT ,0.08924000
BTT  ,0.00000091
WLD ,1.74000000
CORE ,0.93680000
QNT ,70.30000000
PLS ,0.00005278
FLOW ,0.55030000
CFX ,0.18970000
NOT ,0.00782600
STRK ,0.40150000
GT ,8.47800000
EOS ,0.48550000
USDD ,1.00000000
FTT ,2.24200000
AXS ,4.82100000
FTN ,2.39900000
EIGEN ,3.92300000
GALA ,0.02095000
NEO ,10.34000000
CHEEL ,12.79000000
FLR ,0.01496000
ORDI ,34.37000000
EGLD ,25.97000000
CKB ,0.01564000
